customer_id,firstname,lastname,phone
NAO1931162,Riannon,Septima,61420364080
UDY9177732,Roxane,Prouty,83112028981
NQW9009392,Daphne,Hourigan,56578112301
WSA6742848,Calla,Sidonius,09517515478
AMC9266758,Elora,Bach,73488951937
PEL3958630,Marinna,Arquit,28443993127
COI6409044,Lonnie,Tamar,86085830515
CVW7982515,Tani,Ioab,27363778219
FRG0854812,Anestassia,Maryanne,15420877467
JZS3208214,Kimmy,Brodench,38293228410
IEP2756213,Concettina,Shirberg,16642371193
LVH6698363,Berta,Wandie,65630847143
SBS0534747,Corly,Nance,35292070108
DID4576756,Stevana,Zuzana,50422347738
RGM4899827,Vinita,Honoria,67216162662
QTS7431954,Lily,Goerke,69777599538
KDC3361056,Kylynn,Daegal,61662389997
CDG9116283,Kary,Latini,31933678569
DJO0320584,Glenda,Dawkins,57581973922
FNP0809140,Ronna,Nester,35477864512
MMU8485344,Abbie,Margret,08739995595
NNT1628019,Michaelina,Ax,54576813296
BUH0401327,Brena,Alva,92426539098
DCB3539138,Fawne,Albertine,31422844426
IQB5980787,Carolina,Jillane,73030023120
BFK7450956,Lindie,Lilybelle,73086514081
EEB6173349,Siana,Durware,16774576809
TZB5719214,Rayna,Anastatius,26277684224
BUN6932304,Inga,Aldric,04080680456
PSC0969983,Cyndie,Erb,99282533017
GNH8539381,Juliane,Bari,26282402023
JVL1092007,Clary,Roxanna,68201561278
UNJ5451115,Lusa,Sparhawk,56228651275
CDX5305472,Ekaterina,Ries,45692510029
UTO8761034,Katuscha,Edison,53661937110
VFJ8500278,Aeriela,Odell,06560958326
SCH6778253,Alleen,Pierette,69653746790
QWG9448301,Ezmeralda,Eldrid,27475830294
AQS7739249,Grier,Maisey,75982011166
RNN7304910,Glenda,Arne,92721427319
FBV4327758,Kerrin,Yusuk,41416042415
RWU8855711,Marguerite,Tamar,62717216875
NNN9362287,Leona,Belldas,80138425748
NQV6088456,Michaelina,Radu,83768638039
PUQ6260347,Fidelia,Rosette,37392282924
GKX9210625,Aurelie,Heidt,31620084600
QFJ7253465,Sheelagh,Hachmin,58939027334
KBI9299502,Helena,Liebermann,60696384902
RXF3895878,Oona,Fry,22565576376
CUP7218785,Lila,Hanshaw,24025846184
PSF0792861,Phylis,Liva,94947091369
